air_temp,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,period_end,period
14,148,138,4.3,3.3,2025-03-24T14:45:00Z,PT15M
13,145,135,4.1,3.1,2025-03-24T15:00:00Z,PT15M
13,145,133,4.2,3,2025-03-24T15:15:00Z,PT15M
13,146,132,4.4,2.9,2025-03-24T15:30:00Z,PT15M
13,148,131,4.6,2.8,2025-03-24T15:45:00Z,PT15M
12,149,130,4.9,2.7,2025-03-24T16:00:00Z,PT15M
12,151,128,5,2.7,2025-03-24T16:15:00Z,PT15M
12,152,126,5,2.6,2025-03-24T16:30:00Z,PT15M
12,154,123,5,2.5,2025-03-24T16:45:00Z,PT15M
11,156,121,5,2.5,2025-03-24T17:00:00Z,PT15M
11,158,120,5,2.4,2025-03-24T17:15:00Z,PT15M
11,160,121,4.9,2.3,2025-03-24T17:30:00Z,PT15M
11,162,122,4.8,2.2,2025-03-24T17:45:00Z,PT15M
11,165,122,4.7,2.1,2025-03-24T18:00:00Z,PT15M
11,168,126,4.7,2,2025-03-24T18:15:00Z,PT15M
12,171,132,4.8,2.1,2025-03-24T18:30:00Z,PT15M
12,174,138,4.9,2.2,2025-03-24T18:45:00Z,PT15M
12,176,143,5,2.3,2025-03-24T19:00:00Z,PT15M
12,180,147,5.1,2.3,2025-03-24T19:15:00Z,PT15M
12,184,151,5,2.2,2025-03-24T19:30:00Z,PT15M
12,189,156,4.9,2.1,2025-03-24T19:45:00Z,PT15M
12,193,160,4.9,2,2025-03-24T20:00:00Z,PT15M
12,196,164,4.8,2,2025-03-24T20:15:00Z,PT15M
13,198,168,4.7,2,2025-03-24T20:30:00Z,PT15M
13,200,172,4.6,2,2025-03-24T20:45:00Z,PT15M
13,202,175,4.5,2,2025-03-24T21:00:00Z,PT15M
13,205,181,4.5,2.1,2025-03-24T21:15:00Z,PT15M
13,210,187,4.8,2.2,2025-03-24T21:30:00Z,PT15M
13,214,193,5,2.3,2025-03-24T21:45:00Z,PT15M
13,218,198,5.3,2.5,2025-03-24T22:00:00Z,PT15M
13,221,203,5.5,2.6,2025-03-24T22:15:00Z,PT15M
13,225,207,5.7,2.7,2025-03-24T22:30:00Z,PT15M
13,228,211,5.8,2.7,2025-03-24T22:45:00Z,PT15M
13,230,215,6,2.8,2025-03-24T23:00:00Z,PT15M
13,234,219,6.3,2.9,2025-03-24T23:15:00Z,PT15M
13,237,224,6.6,3,2025-03-24T23:30:00Z,PT15M
13,241,229,7,3.1,2025-03-24T23:45:00Z,PT15M
13,244,234,7.4,3.2,2025-03-25,PT15M
13,247,238,7.7,3.3,2025-03-25T00:15:00Z,PT15M
13,250,242,8,3.4,2025-03-25T00:30:00Z,PT15M
14,252,245,8.2,3.5,2025-03-25T00:45:00Z,PT15M
14,255,248,8.5,3.7,2025-03-25T01:00:00Z,PT15M
14,257,251,8.6,3.7,2025-03-25T01:15:00Z,PT15M
14,258,253,8.5,3.6,2025-03-25T01:30:00Z,PT15M
14,259,255,8.4,3.6,2025-03-25T01:45:00Z,PT15M
14,260,257,8.3,3.5,2025-03-25T02:00:00Z,PT15M
14,261,259,8.4,3.6,2025-03-25T02:15:00Z,PT15M
14,262,259,8.7,3.8,2025-03-25T02:30:00Z,PT15M
13,263,260,9.1,4,2025-03-25T02:45:00Z,PT15M
13,263,260,9.5,4.2,2025-03-25T03:00:00Z,PT15M
13,264,261,9.6,4.3,2025-03-25T03:15:00Z,PT15M
13,264,261,9.6,4.3,2025-03-25T03:30:00Z,PT15M
13,264,261,9.5,4.3,2025-03-25T03:45:00Z,PT15M
13,264,261,9.5,4.3,2025-03-25T04:00:00Z,PT15M
14,264,261,9.4,4.4,2025-03-25T04:15:00Z,PT15M
14,264,260,9.5,4.6,2025-03-25T04:30:00Z,PT15M
14,263,260,9.5,4.7,2025-03-25T04:45:00Z,PT15M
14,263,260,9.5,4.9,2025-03-25T05:00:00Z,PT15M
14,262,259,9.4,5,2025-03-25T05:15:00Z,PT15M
14,262,259,9.3,5.1,2025-03-25T05:30:00Z,PT15M
14,261,259,9.2,5.3,2025-03-25T05:45:00Z,PT15M
15,261,258,9.1,5.4,2025-03-25T06:00:00Z,PT15M
15,261,258,8.8,5.4,2025-03-25T06:15:00Z,PT15M
15,261,258,8.4,5.3,2025-03-25T06:30:00Z,PT15M
16,261,259,8,5.2,2025-03-25T06:45:00Z,PT15M
16,261,259,7.6,5.1,2025-03-25T07:00:00Z,PT15M
17,262,259,7.5,5.3,2025-03-25T07:15:00Z,PT15M
17,262,260,7.8,5.6,2025-03-25T07:30:00Z,PT15M
18,263,261,8.1,5.9,2025-03-25T07:45:00Z,PT15M
18,263,262,8.3,6.2,2025-03-25T08:00:00Z,PT15M
19,263,262,8.4,6.3,2025-03-25T08:15:00Z,PT15M
19,264,261,8.3,6.3,2025-03-25T08:30:00Z,PT15M
20,264,261,8.2,6.2,2025-03-25T08:45:00Z,PT15M
20,265,261,8.1,6.2,2025-03-25T09:00:00Z,PT15M
21,265,260,8,6.2,2025-03-25T09:15:00Z,PT15M
21,264,260,7.9,6.2,2025-03-25T09:30:00Z,PT15M
21,263,259,7.9,6.1,2025-03-25T09:45:00Z,PT15M
22,262,259,7.8,6.1,2025-03-25T10:00:00Z,PT15M
22,260,258,7.6,6,2025-03-25T10:15:00Z,PT15M
22,258,255,7.3,5.8,2025-03-25T10:30:00Z,PT15M
22,255,253,6.9,5.6,2025-03-25T10:45:00Z,PT15M
22,252,250,6.6,5.4,2025-03-25T11:00:00Z,PT15M
22,250,248,6.5,5.3,2025-03-25T11:15:00Z,PT15M
23,248,246,6.6,5.3,2025-03-25T11:30:00Z,PT15M
23,246,244,6.7,5.4,2025-03-25T11:45:00Z,PT15M
23,244,242,6.8,5.5,2025-03-25T12:00:00Z,PT15M
23,242,240,6.8,5.5,2025-03-25T12:15:00Z,PT15M
23,241,238,6.8,5.4,2025-03-25T12:30:00Z,PT15M
22,239,236,6.8,5.3,2025-03-25T12:45:00Z,PT15M
22,237,234,6.7,5.2,2025-03-25T13:00:00Z,PT15M
22,237,234,6.7,5.1,2025-03-25T13:15:00Z,PT15M
22,238,235,6.8,5.1,2025-03-25T13:30:00Z,PT15M
22,239,236,6.8,5.1,2025-03-25T13:45:00Z,PT15M
22,241,237,6.8,5.1,2025-03-25T14:00:00Z,PT15M
22,242,238,6.7,4.9,2025-03-25T14:15:00Z,PT15M
22,242,238,6.4,4.6,2025-03-25T14:30:00Z,PT15M
22,243,238,6.1,4.3,2025-03-25T14:45:00Z,PT15M
22,244,239,5.8,4,2025-03-25T15:00:00Z,PT15M
21,245,238,5.6,3.7,2025-03-25T15:15:00Z,PT15M
21,246,237,5.4,3.4,2025-03-25T15:30:00Z,PT15M
20,246,235,5.2,3,2025-03-25T15:45:00Z,PT15M
20,247,233,5.1,2.7,2025-03-25T16:00:00Z,PT15M
19,247,231,5,2.6,2025-03-25T16:15:00Z,PT15M
19,246,230,5,2.6,2025-03-25T16:30:00Z,PT15M
18,245,229,5,2.6,2025-03-25T16:45:00Z,PT15M
18,243,228,5,2.7,2025-03-25T17:00:00Z,PT15M
18,243,228,5,2.6,2025-03-25T17:15:00Z,PT15M
18,245,228,4.8,2.5,2025-03-25T17:30:00Z,PT15M
18,246,227,4.7,2.4,2025-03-25T17:45:00Z,PT15M
18,247,227,4.5,2.3,2025-03-25T18:00:00Z,PT15M
17,249,228,4.4,2.2,2025-03-25T18:15:00Z,PT15M
17,252,231,4.3,2.1,2025-03-25T18:30:00Z,PT15M
